,publisher,genres,app_name,title,release_date,price,id,developer,year
0,Kotoshiro,Action,Lost Summoner Kitty,Lost Summoner Kitty,2018-01-04,4.99,761140,Kotoshiro,2018
1,Kotoshiro,Casual,Lost Summoner Kitty,Lost Summoner Kitty,2018-01-04,4.99,761140,Kotoshiro,2018
2,Kotoshiro,Indie,Lost Summoner Kitty,Lost Summoner Kitty,2018-01-04,4.99,761140,Kotoshiro,2018
3,Kotoshiro,Simulation,Lost Summoner Kitty,Lost Summoner Kitty,2018-01-04,4.99,761140,Kotoshiro,2018
4,Kotoshiro,Strategy,Lost Summoner Kitty,Lost Summoner Kitty,2018-01-04,4.99,761140,Kotoshiro,2018
5,"Making Fun, Inc.",Free to Play,Ironbound,Ironbound,2018-01-04,Free To Play,643980,Secret Level SRL,2018
6,"Making Fun, Inc.",Indie,Ironbound,Ironbound,2018-01-04,Free To Play,643980,Secret Level SRL,2018
7,"Making Fun, Inc.",RPG,Ironbound,Ironbound,2018-01-04,Free To Play,643980,Secret Level SRL,2018
8,"Making Fun, Inc.",Strategy,Ironbound,Ironbound,2018-01-04,Free To Play,643980,Secret Level SRL,2018
9,Poolians.com,Casual,Real Pool 3D - Poolians,Real Pool 3D - Poolians,2017-07-24,Free to Play,670290,Poolians.com,2017
10,Poolians.com,Free to Play,Real Pool 3D - Poolians,Real Pool 3D - Poolians,2017-07-24,Free to Play,670290,Poolians.com,2017
11,Poolians.com,Indie,Real Pool 3D - Poolians,Real Pool 3D - Poolians,2017-07-24,Free to Play,670290,Poolians.com,2017
12,Poolians.com,Simulation,Real Pool 3D - Poolians,Real Pool 3D - Poolians,2017-07-24,Free to Play,670290,Poolians.com,2017
13,Poolians.com,Sports,Real Pool 3D - Poolians,Real Pool 3D - Poolians,2017-07-24,Free to Play,670290,Poolians.com,2017
14,彼岸领域,Action,弹炸人2222,弹炸人2222,2017-12-07,0.99,767400,彼岸领域,2017
15,彼岸领域,Adventure,弹炸人2222,弹炸人2222,2017-12-07,0.99,767400,彼岸领域,2017
16,彼岸领域,Casual,弹炸人2222,弹炸人2222,2017-12-07,0.99,767400,彼岸领域,2017
17,Trickjump Games Ltd,Action,Battle Royale Trainer,Battle Royale Trainer,2018-01-04,3.99,772540,Trickjump Games Ltd,2018
18,Trickjump Games Ltd,Adventure,Battle Royale Trainer,Battle Royale Trainer,2018-01-04,3.99,772540,Trickjump Games Ltd,2018
19,Trickjump Games Ltd,Simulation,Battle Royale Trainer,Battle Royale Trainer,2018-01-04,3.99,772540,Trickjump Games Ltd,2018
20,Poppermost Productions,Free to Play,SNOW - All Access Pro Pass,SNOW - All Access Pro Pass,2018-01-04,18.99,774277,Poppermost Productions,2018
21,Poppermost Productions,Indie,SNOW - All Access Pro Pass,SNOW - All Access Pro Pass,2018-01-04,18.99,774277,Poppermost Productions,2018
22,Poppermost Productions,Simulation,SNOW - All Access Pro Pass,SNOW - All Access Pro Pass,2018-01-04,18.99,774277,Poppermost Productions,2018
23,Poppermost Productions,Sports,SNOW - All Access Pro Pass,SNOW - All Access Pro Pass,2018-01-04,18.99,774277,Poppermost Productions,2018
24,Stegalosaurus Game Development,Action,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10.99,770380,Stegalosaurus Game Development,2018
25,Stegalosaurus Game Development,Adventure,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10.99,770380,Stegalosaurus Game Development,2018
26,Stegalosaurus Game Development,Casual,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10.99,770380,Stegalosaurus Game Development,2018
27,Stegalosaurus Game Development,Indie,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10.99,770380,Stegalosaurus Game Development,2018
28,Stegalosaurus Game Development,RPG,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10.99,770380,Stegalosaurus Game Development,2018
29,Copperpick Studio,Casual,Beach Rules,Beach Rules,2018-01-04,3.99,768880,Copperpick Studio,2018
30,Copperpick Studio,Indie,Beach Rules,Beach Rules,2018-01-04,3.99,768880,Copperpick Studio,2018
31,Ghulam Jewel,Casual,Planetarium 2 - Zen Odyssey,Planetarium 2 - Zen Odyssey,2018-01-03,2.99,765320,Ghulam Jewel,2018
32,Ghulam Jewel,Indie,Planetarium 2 - Zen Odyssey,Planetarium 2 - Zen Odyssey,2018-01-03,2.99,765320,Ghulam Jewel,2018
33,Ghulam Jewel,Simulation,Planetarium 2 - Zen Odyssey,Planetarium 2 - Zen Odyssey,2018-01-03,2.99,765320,Ghulam Jewel,2018
34,Apillo,Adventure,The first thrust of God,The first thrust of God,2018-01-03,1.59,773650,Apillo,2018
35,Apillo,Casual,The first thrust of God,The first thrust of God,2018-01-03,1.59,773650,Apillo,2018
36,Apillo,Indie,The first thrust of God,The first thrust of God,2018-01-03,1.59,773650,Apillo,2018
